INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fca8a199990>], gamma:[0.95]
INFO:__main__:minGameScore:[250], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[8 0 0]], score: [-8], loss:[0.254408899689], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 8 17  1]], score: [10], loss:[25.7071728693], sequence:[0], random actions:[299], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 8 34  0]], score: [-12], loss:[5.59904950474], sequence:[0], random actions:[299], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 8 51  1]], score: [10], loss:[1.24039358644], sequence:[0], random actions:[292], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[9 8 0]], score: [-2], loss:[0.810666799004], sequence:[0], random actions:[297], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 9 25  1]], score: [14], loss:[0.429601753345], sequence:[0], random actions:[292], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 9 42  1]], score: [8], loss:[0.501330767646], sequence:[0], random actions:[286], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 59  1]], score: [-2], loss:[0.484117977172], sequence:[0], random actions:[288], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[10 16  0]], score: [-14], loss:[0.448759559076], sequence:[0], random actions:[294], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[10 33  1]], score: [8], loss:[0.457727080341], sequence:[0], random actions:[279], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[10 50  0]], score: [-8], loss:[0.487434363831], sequence:[0], random actions:[286], e:[0.95]
