INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7ffa81b4c990>], gamma:[0.95]
INFO:__main__:minGameScore:[250], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[14  1  1]], score: [-16], loss:[0.439213306843], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[17 50  1]], score: [-34], loss:[0.514302833216], sequence:[0], random actions:[299], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 6 36  1]], score: [14], loss:[0.569415233305], sequence:[0], random actions:[298], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[18 31  0]], score: [6], loss:[1.16017735665], sequence:[0], random actions:[296], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[16 58  1]], score: [22], loss:[0.575619169623], sequence:[0], random actions:[292], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[19 35  0]], score: [4], loss:[0.381814572458], sequence:[0], random actions:[294], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[9 0 1]], score: [2], loss:[0.767106642233], sequence:[0], random actions:[296], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 14  1]], score: [6], loss:[0.714391486299], sequence:[0], random actions:[291], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[13 43  1]], score: [-10], loss:[0.513346948144], sequence:[0], random actions:[290], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[22 27  0]], score: [-24], loss:[0.784219117708], sequence:[0], random actions:[282], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[2 0 0]], score: [-26], loss:[0.448073330428], sequence:[0], random actions:[284], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[20  2  0]], score: [32], loss:[0.339828490565], sequence:[0], random actions:[286], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[22 11  0]], score: [24], loss:[0.572067924555], sequence:[0], random actions:[278], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[1 5 0]], score: [32], loss:[0.475986317039], sequence:[0], random actions:[273], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[10 28  1]], score: [-2], loss:[1.13948245129], sequence:[0], random actions:[283], e:[0.93]
INFO:__main__:episode: 16, state: init state:[[ 9 21  1]], score: [12], loss:[0.540876770578], sequence:[0], random actions:[278], e:[0.92]
INFO:__main__:episode: 17, state: init state:[[17 13  1]], score: [0], loss:[0.50907465294], sequence:[0], random actions:[267], e:[0.92]
INFO:__main__:episode: 18, state: init state:[[14  2  1]], score: [8], loss:[0.498144498616], sequence:[0], random actions:[267], e:[0.91]
INFO:__main__:episode: 19, state: init state:[[12  7  1]], score: [22], loss:[0.480110103302], sequence:[0], random actions:[276], e:[0.91]
INFO:__main__:episode: 20, state: init state:[[10 41  1]], score: [44], loss:[0.265493757703], sequence:[0], random actions:[260], e:[0.9]
INFO:__main__:episode: 21, state: init state:[[21 47  0]], score: [-8], loss:[0.943566146327], sequence:[0], random actions:[272], e:[0.9]
INFO:__main__:episode: 22, state: init state:[[ 6 42  1]], score: [50], loss:[0.455982164117], sequence:[0], random actions:[278], e:[0.9]
INFO:__main__:episode: 23, state: init state:[[ 6 19  1]], score: [34], loss:[0.316867752599], sequence:[0], random actions:[267], e:[0.89]
INFO:__main__:episode: 24, state: init state:[[11  9  1]], score: [48], loss:[0.109010844599], sequence:[0], random actions:[273], e:[0.89]
INFO:__main__:episode: 25, state: init state:[[23 38  0]], score: [-42], loss:[0.791180605371], sequence:[0], random actions:[270], e:[0.88]
INFO:__main__:episode: 26, state: init state:[[10 58  1]], score: [6], loss:[0.453761143037], sequence:[0], random actions:[276], e:[0.88]
INFO:__main__:episode: 27, state: init state:[[13  6  1]], score: [-6], loss:[0.204483598713], sequence:[0], random actions:[263], e:[0.87]
INFO:__main__:episode: 28, state: init state:[[18 56  0]], score: [-32], loss:[0.66490494578], sequence:[0], random actions:[265], e:[0.87]
INFO:__main__:episode: 29, state: init state:[[22 18  0]], score: [-2], loss:[0.347805648671], sequence:[0], random actions:[266], e:[0.86]
INFO:__main__:episode: 30, state: init state:[[2 0 0]], score: [22], loss:[0.369873253971], sequence:[0], random actions:[267], e:[0.86]
INFO:__main__:episode: 31, state: init state:[[ 4 57  0]], score: [-22], loss:[0.680541869447], sequence:[0], random actions:[253], e:[0.86]
INFO:__main__:episode: 32, state: init state:[[21 12  0]], score: [16], loss:[0.460808977314], sequence:[0], random actions:[260], e:[0.85]
INFO:__main__:episode: 33, state: init state:[[ 6 23  1]], score: [-32], loss:[0.48211261807], sequence:[0], random actions:[260], e:[0.85]
INFO:__main__:episode: 34, state: init state:[[22 11  0]], score: [-2], loss:[0.394464338191], sequence:[0], random actions:[248], e:[0.84]
INFO:__main__:episode: 35, state: init state:[[9 0 1]], score: [0], loss:[0.397160759785], sequence:[0], random actions:[253], e:[0.84]
INFO:__main__:episode: 36, state: init state:[[17 11  1]], score: [24], loss:[0.469801959582], sequence:[0], random actions:[250], e:[0.83]
INFO:__main__:episode: 37, state: init state:[[21 45  0]], score: [-10], loss:[0.283823805171], sequence:[0], random actions:[243], e:[0.83]
INFO:__main__:episode: 38, state: init state:[[ 5 26  0]], score: [-60], loss:[0.599998590003], sequence:[0], random actions:[257], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[10 56  1]], score: [88], loss:[0.329893981505], sequence:[0], random actions:[248], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[15  7  1]], score: [10], loss:[0.654982040053], sequence:[0], random actions:[242], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[23 39  0]], score: [-42], loss:[0.658496536968], sequence:[0], random actions:[249], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[ 0 31  0]], score: [56], loss:[0.14812598039], sequence:[0], random actions:[242], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[ 6 34  1]], score: [-66], loss:[0.56771260408], sequence:[0], random actions:[246], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[ 6 48  1]], score: [50], loss:[0.203090214346], sequence:[0], random actions:[246], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[17 31  1]], score: [-64], loss:[0.54566097754], sequence:[0], random actions:[246], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[0 3 0]], score: [62], loss:[0.243228864869], sequence:[0], random actions:[249], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[11 16  1]], score: [-64], loss:[0.383112345416], sequence:[0], random actions:[233], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[19  0  0]], score: [-48], loss:[0.320924422298], sequence:[0], random actions:[230], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[ 2 52  0]], score: [8], loss:[0.353160483613], sequence:[0], random actions:[237], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[15  7  1]], score: [36], loss:[0.431408907434], sequence:[0], random actions:[229], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[ 3 36  0]], score: [26], loss:[0.425618568258], sequence:[0], random actions:[239], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[21 50  0]], score: [72], loss:[0.310565876877], sequence:[0], random actions:[237], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[19  2  0]], score: [64], loss:[0.249963482819], sequence:[0], random actions:[231], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[11 42  1]], score: [-16], loss:[0.83333243579], sequence:[0], random actions:[228], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[ 1 47  0]], score: [-16], loss:[0.319303893116], sequence:[0], random actions:[225], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 30  0]], score: [68], loss:[0.349894931124], sequence:[0], random actions:[225], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[ 2 21  0]], score: [34], loss:[0.379708314102], sequence:[0], random actions:[237], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[ 2 15  0]], score: [52], loss:[0.63503226941], sequence:[0], random actions:[222], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 5 16  0]], score: [24], loss:[0.348127596677], sequence:[0], random actions:[230], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[11 25  1]], score: [62], loss:[0.0863371992118], sequence:[0], random actions:[218], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[21  0  0]], score: [76], loss:[0.192121499362], sequence:[0], random actions:[216], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 42  0]], score: [70], loss:[0.25268104985], sequence:[0], random actions:[230], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[21 31  0]], score: [56], loss:[0.269614850684], sequence:[0], random actions:[226], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[17 48  1]], score: [72], loss:[0.133847009334], sequence:[0], random actions:[219], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[12 33  1]], score: [-50], loss:[0.371742235053], sequence:[0], random actions:[225], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[16 29  1]], score: [-12], loss:[0.292707203328], sequence:[0], random actions:[232], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[10 51  1]], score: [78], loss:[0.224434877357], sequence:[0], random actions:[224], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[21 15  0]], score: [64], loss:[0.270608401417], sequence:[0], random actions:[215], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[19 14  0]], score: [112], loss:[0.0643062338258], sequence:[0], random actions:[200], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[23 16  0]], score: [80], loss:[0.0671171046526], sequence:[0], random actions:[213], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[18 26  0]], score: [74], loss:[0.060880024041], sequence:[0], random actions:[207], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[10 57  1]], score: [98], loss:[0.230181080365], sequence:[0], random actions:[198], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 1 53  0]], score: [48], loss:[0.337414075552], sequence:[0], random actions:[211], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[14 50  1]], score: [46], loss:[0.407641630566], sequence:[0], random actions:[206], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 1 49  0]], score: [112], loss:[0.304911162764], sequence:[0], random actions:[199], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[12 54  1]], score: [52], loss:[0.32911618058], sequence:[0], random actions:[206], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 9 16  1]], score: [82], loss:[0.141571291887], sequence:[0], random actions:[206], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 0 58  0]], score: [90], loss:[0.0742122209077], sequence:[0], random actions:[217], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[4 6 0]], score: [58], loss:[0.348393836168], sequence:[0], random actions:[205], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[20  4  0]], score: [96], loss:[0.107075298509], sequence:[0], random actions:[212], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 1 27  0]], score: [70], loss:[0.214331471109], sequence:[0], random actions:[208], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 3 57  0]], score: [86], loss:[0.317438668232], sequence:[0], random actions:[189], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[14  9  1]], score: [48], loss:[0.351389976114], sequence:[0], random actions:[187], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[22 54  0]], score: [102], loss:[0.233711843692], sequence:[0], random actions:[200], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 1 57  0]], score: [88], loss:[0.211201902533], sequence:[0], random actions:[197], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[16 42  1]], score: [4], loss:[0.38390987654], sequence:[0], random actions:[199], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[17 47  1]], score: [92], loss:[0.112115550242], sequence:[0], random actions:[193], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[17  5  1]], score: [62], loss:[0.352022691687], sequence:[0], random actions:[200], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[9 5 1]], score: [124], loss:[0.237070919104], sequence:[0], random actions:[187], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[12 15  1]], score: [12], loss:[0.127844513556], sequence:[0], random actions:[210], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 0 40  0]], score: [72], loss:[0.234233982318], sequence:[0], random actions:[193], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[10 57  1]], score: [72], loss:[0.0956893322572], sequence:[0], random actions:[197], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[21 39  0]], score: [46], loss:[0.333719540161], sequence:[0], random actions:[198], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[16  5  1]], score: [132], loss:[0.298344128708], sequence:[0], random actions:[174], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[5 7 0]], score: [134], loss:[0.24514900353], sequence:[0], random actions:[185], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[ 9 37  1]], score: [100], loss:[0.0858500084991], sequence:[0], random actions:[186], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[1 7 0]], score: [100], loss:[0.162936299843], sequence:[0], random actions:[181], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[8 0 1]], score: [116], loss:[0.180625900306], sequence:[0], random actions:[186], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[ 6 54  1]], score: [120], loss:[0.075870505328], sequence:[0], random actions:[180], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[ 4 29  0]], score: [106], loss:[0.19115339343], sequence:[0], random actions:[189], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[10 22  1]], score: [122], loss:[0.113209845014], sequence:[0], random actions:[174], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[22 55  0]], score: [128], loss:[0.0646635894523], sequence:[0], random actions:[177], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[10 52  1]], score: [118], loss:[0.0471470835923], sequence:[0], random actions:[194], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[19  3  0]], score: [86], loss:[0.18566020442], sequence:[0], random actions:[187], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[20 50  0]], score: [108], loss:[0.0382542206501], sequence:[0], random actions:[194], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[ 1 13  0]], score: [66], loss:[0.378772434228], sequence:[0], random actions:[195], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[ 5 10  0]], score: [34], loss:[0.328023193723], sequence:[0], random actions:[166], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[ 6 36  1]], score: [92], loss:[0.157055516753], sequence:[0], random actions:[178], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[11 43  1]], score: [96], loss:[0.166449378006], sequence:[0], random actions:[167], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[12  8  1]], score: [126], loss:[0.230529138089], sequence:[0], random actions:[168], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[12 48  1]], score: [148], loss:[0.134246987037], sequence:[0], random actions:[182], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[ 9 54  1]], score: [98], loss:[0.131572065066], sequence:[0], random actions:[184], e:[0.57]
