INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[12:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f521cee9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[8 0 1]], score: [-10], loss:[0.414668868752], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 8 17  0]], score: [6], loss:[0.370348861589], sequence:[0], random actions:[299], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 8 34  0]], score: [-16], loss:[0.470483417278], sequence:[0], random actions:[297], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 8 51  1]], score: [2], loss:[0.476553033064], sequence:[0], random actions:[298], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[9 8 0]], score: [14], loss:[0.501174629927], sequence:[0], random actions:[292], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 9 25  0]], score: [12], loss:[0.501459736824], sequence:[0], random actions:[292], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 9 42  0]], score: [-26], loss:[0.508188028187], sequence:[0], random actions:[293], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 59  0]], score: [36], loss:[0.497791878432], sequence:[0], random actions:[292], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[10 16  0]], score: [24], loss:[0.502854969501], sequence:[0], random actions:[290], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[10 33  1]], score: [-34], loss:[0.502009945214], sequence:[0], random actions:[281], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[10 50  1]], score: [12], loss:[0.499586781859], sequence:[0], random actions:[276], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[11  7  0]], score: [-2], loss:[0.499522069395], sequence:[0], random actions:[281], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[11 24  1]], score: [-4], loss:[0.500988461822], sequence:[0], random actions:[285], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[11 41  0]], score: [4], loss:[0.498933911622], sequence:[0], random actions:[288], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[11 58  1]], score: [-8], loss:[0.49824965924], sequence:[0], random actions:[262], e:[0.93]
