INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[14:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f113d1a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[8 0 0]], score: [14], loss:[0.72625530592], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 8 17  1]], score: [-4], loss:[0.270703182091], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 8 34  0]], score: [12], loss:[0.313254342816], sequence:[0], random actions:[300], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 8 51  1]], score: [14], loss:[0.10193208385], sequence:[0], random actions:[300], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[9 8 1]], score: [-26], loss:[0.07294641745], sequence:[0], random actions:[295], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 9 25  0]], score: [-12], loss:[0.183424347574], sequence:[0], random actions:[297], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 9 42  0]], score: [14], loss:[0.338562018219], sequence:[0], random actions:[291], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 59  0]], score: [10], loss:[0.468183977633], sequence:[0], random actions:[291], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[10 16  1]], score: [-10], loss:[0.536590963814], sequence:[0], random actions:[288], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[10 33  1]], score: [6], loss:[0.457787026874], sequence:[0], random actions:[290], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[10 50  0]], score: [-24], loss:[0.516907436455], sequence:[0], random actions:[277], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[11  7  0]], score: [20], loss:[0.484438054739], sequence:[0], random actions:[288], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[11 24  1]], score: [10], loss:[0.543710336883], sequence:[0], random actions:[289], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[11 41  1]], score: [-14], loss:[0.523071570843], sequence:[0], random actions:[279], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[11 58  1]], score: [-4], loss:[0.563101621345], sequence:[0], random actions:[282], e:[0.93]
INFO:__main__:episode: 16, state: init state:[[12 15  1]], score: [-8], loss:[0.531694835201], sequence:[0], random actions:[275], e:[0.92]
INFO:__main__:episode: 17, state: init state:[[12 32  0]], score: [-4], loss:[0.460251654834], sequence:[0], random actions:[283], e:[0.92]
INFO:__main__:episode: 18, state: init state:[[12 49  1]], score: [18], loss:[0.377231197581], sequence:[0], random actions:[284], e:[0.91]
INFO:__main__:episode: 19, state: init state:[[13  6  0]], score: [26], loss:[0.450797045233], sequence:[0], random actions:[271], e:[0.91]
INFO:__main__:episode: 20, state: init state:[[13 23  1]], score: [10], loss:[0.309960956759], sequence:[0], random actions:[272], e:[0.9]
INFO:__main__:episode: 21, state: init state:[[13 40  1]], score: [30], loss:[0.372671451775], sequence:[0], random actions:[270], e:[0.9]
INFO:__main__:episode: 22, state: init state:[[13 57  0]], score: [12], loss:[0.476311818395], sequence:[0], random actions:[274], e:[0.9]
INFO:__main__:episode: 23, state: init state:[[14 14  0]], score: [16], loss:[0.521756911761], sequence:[0], random actions:[257], e:[0.89]
INFO:__main__:episode: 24, state: init state:[[14 31  0]], score: [56], loss:[0.588075484298], sequence:[0], random actions:[276], e:[0.89]
INFO:__main__:episode: 25, state: init state:[[14 48  0]], score: [-10], loss:[0.569009620299], sequence:[0], random actions:[267], e:[0.88]
INFO:__main__:episode: 26, state: init state:[[15  5  0]], score: [-14], loss:[0.621359646583], sequence:[0], random actions:[264], e:[0.88]
INFO:__main__:episode: 27, state: init state:[[15 22  0]], score: [-16], loss:[0.606826348975], sequence:[0], random actions:[267], e:[0.87]
INFO:__main__:episode: 28, state: init state:[[15 39  0]], score: [-2], loss:[0.572164025083], sequence:[0], random actions:[267], e:[0.87]
INFO:__main__:episode: 29, state: init state:[[15 56  1]], score: [20], loss:[0.562106836513], sequence:[0], random actions:[262], e:[0.86]
INFO:__main__:episode: 30, state: init state:[[16 13  0]], score: [-8], loss:[0.515947618335], sequence:[0], random actions:[245], e:[0.86]
INFO:__main__:episode: 31, state: init state:[[16 30  1]], score: [-48], loss:[0.503350753039], sequence:[0], random actions:[258], e:[0.86]
INFO:__main__:episode: 32, state: init state:[[16 47  0]], score: [-8], loss:[0.452765650265], sequence:[0], random actions:[255], e:[0.85]
INFO:__main__:episode: 33, state: init state:[[17  4  0]], score: [46], loss:[0.445652841247], sequence:[0], random actions:[256], e:[0.85]
INFO:__main__:episode: 34, state: init state:[[17 21  0]], score: [54], loss:[0.286408618061], sequence:[0], random actions:[264], e:[0.84]
INFO:__main__:episode: 35, state: init state:[[17 38  1]], score: [8], loss:[0.216695469763], sequence:[0], random actions:[256], e:[0.84]
