INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fcfc0cad990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 1, state: init state:[[ 5 11  0]], score: [-2], loss:[0.474762685379], sequence:[0], random actions:[500], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[20 54  0]], score: [-8], loss:[0.507455279818], sequence:[0], random actions:[496], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 7 27  1]], score: [2], loss:[0.494788836921], sequence:[0], random actions:[493], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 5 58  0]], score: [16], loss:[0.46359967848], sequence:[0], random actions:[494], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[ 1 21  0]], score: [4], loss:[0.504238722708], sequence:[0], random actions:[491], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[19 48  0]], score: [-56], loss:[0.501530680518], sequence:[0], random actions:[482], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[11 29  1]], score: [32], loss:[0.537927910077], sequence:[0], random actions:[485], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[1 2 0]], score: [-4], loss:[0.663002670792], sequence:[0], random actions:[481], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[15 24  1]], score: [28], loss:[0.633462575192], sequence:[0], random actions:[473], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[16 28  1]], score: [36], loss:[0.554329386068], sequence:[0], random actions:[481], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[13 16  1]], score: [10], loss:[0.52878806759], sequence:[0], random actions:[483], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[16 22  1]], score: [2], loss:[0.519472432527], sequence:[0], random actions:[479], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[15 14  1]], score: [40], loss:[0.536996655581], sequence:[0], random actions:[475], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[15 51  1]], score: [22], loss:[0.654743673255], sequence:[0], random actions:[470], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[19  2  0]], score: [-46], loss:[0.391344503652], sequence:[0], random actions:[459], e:[0.93]
INFO:__main__:episode: 16, state: init state:[[11 58  1]], score: [-28], loss:[0.666957907055], sequence:[0], random actions:[461], e:[0.92]
INFO:__main__:episode: 17, state: init state:[[13 47  1]], score: [-18], loss:[0.605905797973], sequence:[0], random actions:[468], e:[0.92]
INFO:__main__:episode: 18, state: init state:[[ 5 46  0]], score: [-32], loss:[0.520470013667], sequence:[0], random actions:[457], e:[0.91]
INFO:__main__:episode: 19, state: init state:[[ 2 53  0]], score: [-24], loss:[0.481665064115], sequence:[0], random actions:[448], e:[0.91]
INFO:__main__:episode: 20, state: init state:[[16 51  1]], score: [20], loss:[0.549615706594], sequence:[0], random actions:[456], e:[0.9]
INFO:__main__:episode: 21, state: init state:[[11 57  1]], score: [-40], loss:[0.528222780285], sequence:[0], random actions:[450], e:[0.9]
INFO:__main__:episode: 22, state: init state:[[ 4 44  0]], score: [-22], loss:[0.492825876834], sequence:[0], random actions:[456], e:[0.9]
INFO:__main__:episode: 23, state: init state:[[2 5 0]], score: [-24], loss:[0.49932685052], sequence:[0], random actions:[456], e:[0.89]
INFO:__main__:episode: 24, state: init state:[[19 54  0]], score: [-12], loss:[0.507607641397], sequence:[0], random actions:[430], e:[0.89]
INFO:__main__:episode: 25, state: init state:[[ 1 14  0]], score: [40], loss:[0.512450477108], sequence:[0], random actions:[443], e:[0.88]
INFO:__main__:episode: 26, state: init state:[[20 19  0]], score: [48], loss:[0.539882543962], sequence:[0], random actions:[440], e:[0.88]
INFO:__main__:episode: 27, state: init state:[[ 3 33  0]], score: [-44], loss:[0.487940688271], sequence:[0], random actions:[441], e:[0.87]
INFO:__main__:episode: 28, state: init state:[[16 39  1]], score: [12], loss:[0.584698491497], sequence:[0], random actions:[450], e:[0.87]
INFO:__main__:episode: 29, state: init state:[[12 49  1]], score: [0], loss:[0.579563918836], sequence:[0], random actions:[444], e:[0.86]
INFO:__main__:episode: 30, state: init state:[[21  2  0]], score: [6], loss:[0.524005104475], sequence:[0], random actions:[435], e:[0.86]
INFO:__main__:episode: 31, state: init state:[[17 14  1]], score: [38], loss:[0.37461733066], sequence:[0], random actions:[423], e:[0.86]
INFO:__main__:episode: 32, state: init state:[[ 3 43  0]], score: [-72], loss:[0.639688744376], sequence:[0], random actions:[414], e:[0.85]
INFO:__main__:episode: 33, state: init state:[[15 27  1]], score: [26], loss:[0.625071423443], sequence:[0], random actions:[426], e:[0.85]
INFO:__main__:episode: 34, state: init state:[[23 55  0]], score: [32], loss:[0.674012600409], sequence:[0], random actions:[430], e:[0.84]
INFO:__main__:episode: 35, state: init state:[[20 33  0]], score: [104], loss:[1.8398012323], sequence:[0], random actions:[413], e:[0.84]
INFO:__main__:episode: 36, state: init state:[[ 7 37  1]], score: [-24], loss:[0.951437949437], sequence:[0], random actions:[410], e:[0.83]
INFO:__main__:episode: 37, state: init state:[[ 4 46  0]], score: [-2], loss:[0.414220013818], sequence:[0], random actions:[433], e:[0.83]
INFO:__main__:episode: 38, state: init state:[[14 36  1]], score: [8], loss:[0.52896494959], sequence:[0], random actions:[419], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[19 33  0]], score: [32], loss:[0.678057770943], sequence:[0], random actions:[417], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[ 3 31  0]], score: [0], loss:[0.629489718907], sequence:[0], random actions:[421], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[ 1 49  0]], score: [-4], loss:[0.554689066659], sequence:[0], random actions:[414], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[ 5 16  0]], score: [-4], loss:[0.532133775007], sequence:[0], random actions:[415], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[ 1 44  0]], score: [-12], loss:[0.510372231191], sequence:[0], random actions:[402], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[14 46  1]], score: [-22], loss:[0.521302235196], sequence:[0], random actions:[397], e:[0.8]
