INFO:__main__:policy:[{u'10': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'21:00', u'23:29']]}, {u'days': [5], u'times': [[u'21:00', u'23:29']]}], u'6': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'00:00', u'00:14'], [u'20:40', u'23:59']]}, {u'days': [4], u'times': [[u'00:00', u'00:14']]}, {u'days': [5], u'times': [[u'21:00', u'23:59']]}], u'weekdays': [0, 1, 2, 3, 6], u'Devices': [u'Room light1', u'Room light2', u'Room light3 (backdoor)', u'Kitchen light', u'Toilets light', u'Bathroom light', u'Living room light1', u'Living room light2', u'Hallway light', u'Entrance light', u'Boiler'], u'days': [u'Monday', u'Tuesday', u'Wednesday', u'Thursday', u'Friday', u'Saturday', u'Sunday'], u'1': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'08:30', u'08:59'], [u'20:30', u'21:29']]}, {u'days': [4], u'times': [[u'10:00', u'13:29']]}, {u'days': [5], u'times': [[u'18:00', u'18:59']]}], u'0': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'00:00', u'00:29'], [u'08:00', u'08:59'], [u'20:30', u'23:59']]}, {u'days': [4], u'times': [[u'00:00', u'00:59'], [u'09:30', u'13:29']]}, {u'days': [5], u'times': [[u'18:00', u'23:59']]}], u'3': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'08:30', u'08:44'], [u'20:45', u'21:29'], [u'23:15', u'23:44']]}, {u'days': [4], u'times': [[u'10:00', u'10:59'], [u'12:45', u'13:14']]}, {u'days': [5], u'times': [[u'18:00', u'19:59'], [u'21:00', u'23:14']]}], u'2': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'00:30', u'01:09']]}, {u'days': [4], u'times': [[u'00:30', u'01:09']]}], u'5': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'00:05', u'00:24'], [u'08:35', u'08:42'], [u'21:09', u'21:11']]}, {u'days': [4], u'times': [[u'00:05', u'00:24'], [u'10:18', u'10:29']]}, {u'days': [5], u'times': [[u'19:09', u'19:09'], [u'21:34', u'21:34']]}], u'4': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'08:30', u'08:34'], [u'21:05', u'21:08']]}, {u'days': [4], u'times': [[u'10:10', u'10:17']]}, {u'days': [5], u'times': [[u'19:05', u'19:08'], [u'21:20', u'21:33']]}], u'7': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'00:00', u'00:14'], [u'20:40', u'23:59']]}, {u'days': [4], u'times': [[u'00:00', u'00:14']]}, {u'days': [5], u'times': [[u'21:00', u'23:59']]}], u'Time format': u'%H:%M', u'9': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'09:00', u'09:00'], [u'20:30', u'20:30']]}, {u'days': [4], u'times': [[u'13:29', u'13:29']]}, {u'days': [5], u'times': [[u'18:00', u'18:00']]}], u'8': [{u'days': [0, 1, 2, 3, 6], u'times': [[u'20:31', u'20:54']]}, {u'days': [5], u'times': [[u'18:00', u'18:59']]}], u'weekend': [4, 5]}]
INFO:__main__:args:[{'random': False, 'gpuFrac': 0.3, 'sequential': True, 'gpuNum': 6, 'settings': 'settings.json'}]
INFO:__main__:agent:[{'epsilon_decay': 0.995, 'epsilon': 1.0, 'learning_rate': 0.001, 'epsilon_min': 0.01, 'gamma': 0.95}]
INFO:__main__:settings:[{u'minGameScoreRatio': 0.85, u'batchSize': 128, u'minGameSequence': 500, u'gameMinutesLength': 2880, u'trainSetSize': 10000, u'dequeSize': 10000}]
INFO:__main__:Saving model as [results/D-20-2-H-19-18-36/model.h5]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 2048)              30720     
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 2048)              4196352   
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 2048)              4196352   
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 2048)              4196352   
INFO:__main__:=================================================================
INFO:__main__:Total params: 12,619,776
INFO:__main__:Trainable params: 12,619,776
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:episode: 1, state: init state:[[ 1 11 54  0  0  0  0  0  0  0  0  0  0  0]], score: [21.8181818182], loss:[0.000157857422245], sequence:[0], random actions:[2880], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 1 12 11  0  0  0  0  0  0  0  0  0  0  0]], score: [-1.45454545455], loss:[4.67637841616e-05], sequence:[0], random actions:[2863], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 1 12 28  0  0  0  0  0  0  0  0  0  0  0]], score: [4.18181818182], loss:[4.48321532598e-05], sequence:[0], random actions:[2861], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 1 12 45  0  0  0  0  0  0  0  0  0  0  0]], score: [-14.5454545455], loss:[4.48592764064e-05], sequence:[0], random actions:[2834], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[ 1 13  2  0  0  0  0  0  0  0  0  0  0  0]], score: [8.72727272727], loss:[4.571293185e-05], sequence:[0], random actions:[2833], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 1 13 19  0  0  0  0  0  0  0  0  0  0  0]], score: [16.3636363636], loss:[4.58974133595e-05], sequence:[0], random actions:[2798], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 1 13 36  0  0  0  0  0  0  0  0  0  0  0]], score: [-22.0], loss:[4.52895093127e-05], sequence:[0], random actions:[2799], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 1 13 53  0  0  0  0  0  0  0  0  0  0  0]], score: [5.09090909091], loss:[4.5680768718e-05], sequence:[0], random actions:[2785], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[ 1 14 10  0  0  0  0  0  0  0  0  0  0  0]], score: [24.1818181818], loss:[4.56172712846e-05], sequence:[0], random actions:[2772], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[ 1 14 27  0  0  0  0  0  0  0  0  0  0  0]], score: [27.2727272727], loss:[4.71532494295e-05], sequence:[0], random actions:[2775], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[ 1 14 44  0  0  0  0  0  0  0  0  0  0  0]], score: [-7.09090909091], loss:[4.75296191638e-05], sequence:[0], random actions:[2758], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[ 1 15  1  0  0  0  0  0  0  0  0  0  0  0]], score: [27.8181818182], loss:[4.74663587986e-05], sequence:[0], random actions:[2728], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[ 1 15 18  0  0  0  0  0  0  0  0  0  0  0]], score: [35.4545454545], loss:[4.80314129964e-05], sequence:[0], random actions:[2716], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[ 1 15 35  0  0  0  0  0  0  0  0  0  0  0]], score: [24.3636363636], loss:[4.81224898482e-05], sequence:[0], random actions:[2672], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[ 1 15 52  0  0  0  0  0  0  0  0  0  0  0]], score: [60.0], loss:[4.93193182279e-05], sequence:[0], random actions:[2701], e:[0.93]
INFO:__main__:episode: 16, state: init state:[[ 1 16  9  0  0  0  0  0  0  0  0  0  0  0]], score: [49.4545454545], loss:[5.1241813961e-05], sequence:[0], random actions:[2663], e:[0.92]
INFO:__main__:episode: 17, state: init state:[[ 1 16 26  0  0  0  0  0  0  0  0  0  0  0]], score: [56.3636363636], loss:[5.25640771957e-05], sequence:[0], random actions:[2689], e:[0.92]
INFO:__main__:episode: 18, state: init state:[[ 1 16 43  0  0  0  0  0  0  0  0  0  0  0]], score: [73.4545454545], loss:[5.57322143402e-05], sequence:[0], random actions:[2666], e:[0.91]
INFO:__main__:episode: 19, state: init state:[[ 1 17  0  0  0  0  0  0  0  0  0  0  0  0]], score: [35.2727272727], loss:[5.67741215928e-05], sequence:[0], random actions:[2644], e:[0.91]
INFO:__main__:episode: 20, state: init state:[[ 1 17 17  0  0  0  0  0  0  0  0  0  0  0]], score: [58.5454545455], loss:[5.95113175921e-05], sequence:[0], random actions:[2629], e:[0.9]
INFO:__main__:episode: 21, state: init state:[[ 1 17 34  0  0  0  0  0  0  0  0  0  0  0]], score: [64.5454545455], loss:[6.12663003732e-05], sequence:[0], random actions:[2588], e:[0.9]
INFO:__main__:episode: 22, state: init state:[[ 1 17 51  0  0  0  0  0  0  0  0  0  0  0]], score: [87.8181818182], loss:[6.32619106502e-05], sequence:[0], random actions:[2590], e:[0.9]
INFO:__main__:episode: 23, state: init state:[[ 1 18  8  0  0  0  0  0  0  0  0  0  0  0]], score: [101.636363636], loss:[6.73356164829e-05], sequence:[0], random actions:[2586], e:[0.89]
