INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f831d169990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[8 0 0]], score: [8], loss:[0.196500937415], sequence:[0], random actions:[500], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 8 17  0]], score: [-10], loss:[0.149768790952], sequence:[0], random actions:[498], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 8 34  1]], score: [-16], loss:[0.722959966525], sequence:[0], random actions:[496], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 8 51  0]], score: [14], loss:[0.219830057188], sequence:[0], random actions:[491], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[9 8 1]], score: [44], loss:[0.048260476239], sequence:[0], random actions:[488], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 9 25  1]], score: [22], loss:[0.0425787747721], sequence:[0], random actions:[492], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 9 42  0]], score: [74], loss:[0.0298621237768], sequence:[0], random actions:[481], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 59  0]], score: [-24], loss:[0.280218663019], sequence:[0], random actions:[475], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[10 16  1]], score: [18], loss:[0.249953538776], sequence:[0], random actions:[478], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[10 33  1]], score: [12], loss:[0.426808294154], sequence:[0], random actions:[480], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[10 50  0]], score: [20], loss:[0.334453301051], sequence:[0], random actions:[465], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[11  7  1]], score: [40], loss:[0.473590153], sequence:[0], random actions:[469], e:[0.94]
