INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f08d38e9990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[200]
INFO:__main__:episode: 1, state: init state:[[18 26  0]], score: [-34], loss:[0.738908857404], sequence:[0], random actions:[500], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 0 24  0]], score: [22], loss:[1.06468564772], sequence:[0], random actions:[498], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[18 19  0]], score: [26], loss:[0.134586582199], sequence:[0], random actions:[498], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[10  8  1]], score: [-12], loss:[0.992960870413], sequence:[0], random actions:[494], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[ 8 19  1]], score: [34], loss:[0.401450127071], sequence:[0], random actions:[491], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[13 59  1]], score: [-6], loss:[1.30932827117], sequence:[0], random actions:[489], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[10 50  1]], score: [6], loss:[0.443105408824], sequence:[0], random actions:[487], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[22  9  0]], score: [4], loss:[0.707334710564], sequence:[0], random actions:[483], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[11 19  1]], score: [-46], loss:[0.53644246839], sequence:[0], random actions:[481], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[14 14  1]], score: [-40], loss:[0.536204140969], sequence:[0], random actions:[478], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[ 8 39  1]], score: [6], loss:[0.357332570117], sequence:[0], random actions:[470], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[14 53  1]], score: [26], loss:[1.09812491869], sequence:[0], random actions:[481], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[20  8  0]], score: [-80], loss:[0.421460269873], sequence:[0], random actions:[473], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[3 8 0]], score: [-2], loss:[0.746897337305], sequence:[0], random actions:[472], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[ 0 33  0]], score: [-52], loss:[0.463075613266], sequence:[0], random actions:[466], e:[0.93]
