INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f38321a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 1, state: init state:[[8 0 0]], score: [-2], loss:[0.277898928269], sequence:[0], random actions:[500], e:[0.99]
INFO:__main__:episode: 2, state: init state:[[ 8 17  0]], score: [-18], loss:[0.137224911502], sequence:[0], random actions:[499], e:[0.99]
INFO:__main__:episode: 3, state: init state:[[ 8 34  1]], score: [0], loss:[0.123958463671], sequence:[0], random actions:[498], e:[0.99]
INFO:__main__:episode: 4, state: init state:[[ 8 51  1]], score: [12], loss:[0.209281776229], sequence:[0], random actions:[491], e:[0.98]
INFO:__main__:episode: 5, state: init state:[[9 8 1]], score: [12], loss:[0.309603909789], sequence:[0], random actions:[486], e:[0.98]
INFO:__main__:episode: 6, state: init state:[[ 9 25  1]], score: [42], loss:[0.259547791122], sequence:[0], random actions:[484], e:[0.97]
INFO:__main__:episode: 7, state: init state:[[ 9 42  1]], score: [54], loss:[0.189746335024], sequence:[0], random actions:[494], e:[0.97]
INFO:__main__:episode: 8, state: init state:[[ 9 59  1]], score: [-2], loss:[0.222229156305], sequence:[0], random actions:[479], e:[0.96]
INFO:__main__:episode: 9, state: init state:[[10 16  1]], score: [2], loss:[0.305408943408], sequence:[0], random actions:[482], e:[0.96]
INFO:__main__:episode: 10, state: init state:[[10 33  1]], score: [20], loss:[0.396204816413], sequence:[0], random actions:[483], e:[0.95]
INFO:__main__:episode: 11, state: init state:[[10 50  1]], score: [46], loss:[0.357463307607], sequence:[0], random actions:[459], e:[0.95]
INFO:__main__:episode: 12, state: init state:[[11  7  0]], score: [-6], loss:[0.486201457814], sequence:[0], random actions:[469], e:[0.94]
INFO:__main__:episode: 13, state: init state:[[11 24  1]], score: [42], loss:[0.480682074581], sequence:[0], random actions:[467], e:[0.94]
INFO:__main__:episode: 14, state: init state:[[11 41  0]], score: [-14], loss:[0.45893070767], sequence:[0], random actions:[472], e:[0.93]
INFO:__main__:episode: 15, state: init state:[[11 58  1]], score: [60], loss:[0.501718188218], sequence:[0], random actions:[461], e:[0.93]
INFO:__main__:episode: 16, state: init state:[[12 15  1]], score: [-8], loss:[0.508647138155], sequence:[0], random actions:[472], e:[0.92]
INFO:__main__:episode: 17, state: init state:[[12 32  0]], score: [2], loss:[0.508333263861], sequence:[0], random actions:[468], e:[0.92]
INFO:__main__:episode: 18, state: init state:[[12 49  0]], score: [2], loss:[0.488219796389], sequence:[0], random actions:[452], e:[0.91]
INFO:__main__:episode: 19, state: init state:[[13  6  1]], score: [-30], loss:[0.496233132668], sequence:[0], random actions:[451], e:[0.91]
INFO:__main__:episode: 20, state: init state:[[13 23  1]], score: [50], loss:[0.5356291145], sequence:[0], random actions:[460], e:[0.9]
INFO:__main__:episode: 21, state: init state:[[13 40  0]], score: [52], loss:[0.54427295717], sequence:[0], random actions:[448], e:[0.9]
INFO:__main__:episode: 22, state: init state:[[13 57  0]], score: [18], loss:[0.519955159776], sequence:[0], random actions:[458], e:[0.9]
INFO:__main__:episode: 23, state: init state:[[14 14  1]], score: [-14], loss:[0.585578354654], sequence:[0], random actions:[442], e:[0.89]
INFO:__main__:episode: 24, state: init state:[[14 31  0]], score: [-16], loss:[0.530686357975], sequence:[0], random actions:[441], e:[0.89]
INFO:__main__:episode: 25, state: init state:[[14 48  0]], score: [-28], loss:[0.50663672958], sequence:[0], random actions:[427], e:[0.88]
INFO:__main__:episode: 26, state: init state:[[15  5  1]], score: [2], loss:[0.499363828822], sequence:[0], random actions:[439], e:[0.88]
INFO:__main__:episode: 27, state: init state:[[15 22  0]], score: [24], loss:[0.498590590199], sequence:[0], random actions:[443], e:[0.87]
INFO:__main__:episode: 28, state: init state:[[15 39  0]], score: [44], loss:[0.542151109665], sequence:[0], random actions:[430], e:[0.87]
INFO:__main__:episode: 29, state: init state:[[15 56  0]], score: [-16], loss:[0.496026131485], sequence:[0], random actions:[447], e:[0.86]
INFO:__main__:episode: 30, state: init state:[[16 13  1]], score: [-38], loss:[0.482460363499], sequence:[0], random actions:[430], e:[0.86]
INFO:__main__:episode: 31, state: init state:[[16 30  1]], score: [-2], loss:[0.486688638979], sequence:[0], random actions:[430], e:[0.86]
INFO:__main__:episode: 32, state: init state:[[16 47  0]], score: [24], loss:[0.415780728566], sequence:[0], random actions:[411], e:[0.85]
INFO:__main__:episode: 33, state: init state:[[17  4  0]], score: [56], loss:[0.368931750054], sequence:[0], random actions:[430], e:[0.85]
INFO:__main__:episode: 34, state: init state:[[17 21  1]], score: [20], loss:[0.287763100439], sequence:[0], random actions:[419], e:[0.84]
INFO:__main__:episode: 35, state: init state:[[17 38  1]], score: [68], loss:[0.307276357137], sequence:[0], random actions:[417], e:[0.84]
INFO:__main__:episode: 36, state: init state:[[17 55  1]], score: [116], loss:[0.0989434650308], sequence:[0], random actions:[410], e:[0.83]
INFO:__main__:episode: 37, state: init state:[[18 12  1]], score: [66], loss:[0.19309478174], sequence:[0], random actions:[423], e:[0.83]
INFO:__main__:episode: 38, state: init state:[[18 29  0]], score: [132], loss:[0.193181718966], sequence:[0], random actions:[404], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[18 46  0]], score: [96], loss:[0.189836323932], sequence:[0], random actions:[422], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[19  3  1]], score: [66], loss:[0.0657906910084], sequence:[0], random actions:[415], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[19 20  1]], score: [72], loss:[0.0760155167121], sequence:[0], random actions:[403], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[19 37  0]], score: [92], loss:[0.346979043827], sequence:[0], random actions:[402], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[19 54  0]], score: [132], loss:[0.0850779538025], sequence:[0], random actions:[408], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[20 11  0]], score: [108], loss:[0.00495696179351], sequence:[0], random actions:[404], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[20 28  0]], score: [78], loss:[0.0387085210966], sequence:[0], random actions:[399], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[20 45  0]], score: [86], loss:[0.0147894998453], sequence:[0], random actions:[402], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[21  2  1]], score: [64], loss:[0.0140343373273], sequence:[0], random actions:[395], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[21 19  1]], score: [108], loss:[0.024699193406], sequence:[0], random actions:[392], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[21 36  1]], score: [84], loss:[0.00731045246013], sequence:[0], random actions:[405], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[21 53  0]], score: [116], loss:[0.138308806482], sequence:[0], random actions:[389], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[22 10  0]], score: [112], loss:[0.112171823345], sequence:[0], random actions:[386], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[22 27  1]], score: [110], loss:[0.2029606428], sequence:[0], random actions:[379], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[22 44  1]], score: [100], loss:[0.32796970601], sequence:[0], random actions:[393], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[23  1  1]], score: [90], loss:[0.328941768867], sequence:[0], random actions:[387], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[23 18  1]], score: [54], loss:[0.366464098775], sequence:[0], random actions:[382], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 35  1]], score: [58], loss:[0.43279030013], sequence:[0], random actions:[373], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[23 52  0]], score: [60], loss:[0.400398844195], sequence:[0], random actions:[377], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[0 9 0]], score: [54], loss:[0.410445266796], sequence:[0], random actions:[377], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 0 26  0]], score: [82], loss:[0.510769301496], sequence:[0], random actions:[376], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[ 0 43  1]], score: [50], loss:[0.496686259285], sequence:[0], random actions:[363], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[1 0 1]], score: [-64], loss:[0.523702177894], sequence:[0], random actions:[371], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 17  1]], score: [96], loss:[0.438436183636], sequence:[0], random actions:[386], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 1 34  1]], score: [2], loss:[0.575757220968], sequence:[0], random actions:[369], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[ 1 51  1]], score: [34], loss:[0.62204052146], sequence:[0], random actions:[371], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 8 0]], score: [6], loss:[0.810906869074], sequence:[0], random actions:[370], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2 25  1]], score: [48], loss:[0.316056135596], sequence:[0], random actions:[371], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2 42  0]], score: [114], loss:[0.360298454693], sequence:[0], random actions:[373], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2 59  1]], score: [110], loss:[0.39245030879], sequence:[0], random actions:[356], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 3 16  1]], score: [38], loss:[0.381964797002], sequence:[0], random actions:[355], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 3 33  0]], score: [90], loss:[0.279673475481], sequence:[0], random actions:[358], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 3 50  0]], score: [88], loss:[0.378756774891], sequence:[0], random actions:[353], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[4 7 0]], score: [64], loss:[0.290295045152], sequence:[0], random actions:[367], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 4 24  1]], score: [130], loss:[0.21306073788], sequence:[0], random actions:[369], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 4 41  0]], score: [124], loss:[0.290687099751], sequence:[0], random actions:[342], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 4 58  1]], score: [138], loss:[0.296616373688], sequence:[0], random actions:[342], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  0]], score: [112], loss:[0.485170000742], sequence:[0], random actions:[345], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  0]], score: [134], loss:[0.188216314597], sequence:[0], random actions:[335], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  0]], score: [98], loss:[0.169587703463], sequence:[0], random actions:[340], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 1]], score: [192], loss:[0.0835288891302], sequence:[0], random actions:[326], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  0]], score: [174], loss:[0.048305281856], sequence:[0], random actions:[349], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [144], loss:[0.0139165676325], sequence:[0], random actions:[338], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 6 57  0]], score: [166], loss:[0.0154775190318], sequence:[0], random actions:[343], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 7 14  0]], score: [204], loss:[0.00572280854264], sequence:[0], random actions:[322], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 7 31  1]], score: [178], loss:[0.016056962304], sequence:[0], random actions:[334], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 7 48  0]], score: [212], loss:[0.0253399038116], sequence:[0], random actions:[309], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[8 5 0]], score: [180], loss:[0.0168881166386], sequence:[0], random actions:[323], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 8 22  1]], score: [144], loss:[0.00726420612581], sequence:[0], random actions:[338], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 8 39  0]], score: [158], loss:[0.014297506328], sequence:[0], random actions:[318], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 8 56  0]], score: [194], loss:[0.01126987955], sequence:[0], random actions:[325], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 9 13  0]], score: [210], loss:[0.0612056599862], sequence:[0], random actions:[312], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 9 30  0]], score: [200], loss:[0.0422229460883], sequence:[0], random actions:[297], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 9 47  0]], score: [138], loss:[0.16434646426], sequence:[0], random actions:[322], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[10  4  1]], score: [162], loss:[0.111885698624], sequence:[0], random actions:[310], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[10 21  0]], score: [196], loss:[0.288886968371], sequence:[0], random actions:[306], e:[0.62]
